Aircraft;Origin;Type;Variant;In service;Notes;Category;Wikipedia URL;Title
B-2 Spirit;United States;stealth bomber;;20;;Combat Aircraft;https://en.wikipedia.org/wiki/Northrop_Grumman_B-2_Spirit;Northrop Grumman B-2 Spirit
B-1 Lancer;United States;strategic bomber;;60;employs variable-sweep wing design;Combat Aircraft;https://en.wikipedia.org/wiki/Rockwell_B-1_Lancer;Rockwell B-1 Lancer
B-52 Stratofortress;United States;heavy bomber;;75;;Combat Aircraft;https://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress;Boeing B-52 Stratofortress
F-22 Raptor;United States;stealth air superiority;;178;;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_Martin_F-22_Raptor;Lockheed Martin F-22 Raptor
F-35 Lightning II;United States;stealth multirole;F-35A;205;1,541 on order;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II;Lockheed Martin F-35 Lightning II
F-15 Eagle;United States;air superiority;F-15C;235;23 D variants are used for training;Combat Aircraft;https://en.wikipedia.org/wiki/McDonnell_Douglas_F-15_Eagle;McDonnell Douglas F-15 Eagle
F-15 Strike Eagle;United States;multirole;F-15E;218;;Combat Aircraft;https://en.wikipedia.org/wiki/McDonnell_Douglas_F-15E_Strike_Eagle;McDonnell Douglas F-15E Strike Eagle
F-16 Fighting Falcon;United States;multirole;F-16C;791;150 D variants are used for training;Combat Aircraft;https://en.wikipedia.org/wiki/General_Dynamics_F-16_Fighting_Falcon;General Dynamics F-16 Fighting Falcon
A-10 Thunderbolt II;United States;attack;A-10C;287;;Combat Aircraft;https://en.wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II;Fairchild Republic A-10 Thunderbolt II
Lockheed AC-130;United States;ground attack;AC-130U/W;35;of which seven are the J variant;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_AC-130;Lockheed AC-130
Boeing E-4;United States;command and control;E-4B;4;;AWACS;https://en.wikipedia.org/wiki/Boeing_E-4;Boeing E-4
Boeing E-3;United States;AWACS;E-3B/C/G;31;;AWACS;https://en.wikipedia.org/wiki/Boeing_E-3_Sentry;Boeing E-3 Sentry
Global Express;Canada;command and control / BACN;E-11A;4;;AWACS;https://en.wikipedia.org/wiki/Bombardier_Global_Express;Bombardier Global Express
EC-130H Compass Call;United States;radar jamming / SEAD;;15;;Electronic Warfare;https://en.wikipedia.org/wiki/Lockheed_EC-130H_Compass_Call;Lockheed EC-130H Compass Call
EC-130 Commando Solo;United States;radar jamming / SEAD;EC-130J;7;;Electronic Warfare;https://en.wikipedia.org/wiki/Lockheed_EC-130;Lockheed EC-130
Falcon 20;France;SIGINT / ELINT;;2;;Reconnaissance;https://en.wikipedia.org/wiki/Falcon_20;Falcon 20
Lockheed U-2;United States;high altitude  reconnaissance;U-2S;31;four TU-2S’s provide training;Reconnaissance;https://en.wikipedia.org/wiki/Lockheed_U-2;Lockheed U-2
RC-26 Metro;United States;SIGINT /  surveillance;;11;;Reconnaissance;https://en.wikipedia.org/wiki/Fairchild_C-26_Metroliner;Fairchild C-26 Metroliner
E-8 Joint STARS;United States;AGS / ISTAR;E-8C;17;one used for training;Reconnaissance;https://en.wikipedia.org/wiki/Northrop_Grumman_E-8_Joint_STARS;Northrop Grumman E-8 Joint STARS
CASA CN-235;Spain;SIGINT / ELINT;;5;;Reconnaissance;https://en.wikipedia.org/wiki/CASA/IPTN_CN-235;CASA/IPTN CN-235
Boeing OC-135B;United States;SIGINT /  surveillance;;2;;Reconnaissance;https://en.wikipedia.org/wiki/Boeing_OC-135B_Open_Skies;Boeing OC-135B Open Skies
Bombardier Dash 8;Canada;SIGINT / ELINT;;6;;Reconnaissance;https://en.wikipedia.org/wiki/Bombardier_Dash_8;Bombardier Dash 8
DHC-6 Twin Otter;Canada;SIGINT / ELINT;;1;;Reconnaissance;https://en.wikipedia.org/wiki/De_Havilland_Canada_DHC-6_Twin_Otter;De Havilland Canada DHC-6 Twin Otter
