Aircraft;Origin;Type;Variant;In service;Notes;Category;Wikipedia URL;Title;Manufacturer;Image URL
B-2 Spirit;United States;stealth bomber;;20;;Combat Aircraft;https://en.wikipedia.org/wiki/Northrop_Grumman_B-2_Spirit;Northrop Grumman B-2 Spirit;Northrop Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/B-2_Spirit_%28cropped%29.jpg/300px-B-2_Spirit_%28cropped%29.jpg
B-1 Lancer;United States;strategic bomber;;60;employs variable-sweep wing design;Combat Aircraft;https://en.wikipedia.org/wiki/Rockwell_B-1_Lancer;Rockwell B-1 Lancer;Rockwell International;//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/B-1B_air_refueling.jpg/300px-B-1B_air_refueling.jpg
B-52 Stratofortress;United States;heavy bomber;;75;;Combat Aircraft;https://en.wikipedia.org/wiki/Boeing_B-52_Stratofortress;Boeing B-52 Stratofortress;Boeing;//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Boeing_B-52H_Aspect_ratio.jpg/300px-Boeing_B-52H_Aspect_ratio.jpg
F-22 Raptor;United States;stealth air superiority;;178;;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_Martin_F-22_Raptor;Lockheed Martin F-22 Raptor;Lockheed Martin Aeronautics;//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lockheed_Martin_F-22A_Raptor_JSOH.jpg/300px-Lockheed_Martin_F-22A_Raptor_JSOH.jpg
F-35 Lightning II;United States;stealth multirole;F-35A;205;1,541 on order;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II;Lockheed Martin F-35 Lightning II;Lockheed Martin Aeronautics;//upload.wikimedia.org/wikipedia/commons/thumb/6/61/F-35A_flight_%28cropped%29.jpg/300px-F-35A_flight_%28cropped%29.jpg
F-15 Eagle;United States;air superiority;F-15C;235;23 D variants are used for training;Combat Aircraft;https://en.wikipedia.org/wiki/McDonnell_Douglas_F-15_Eagle;McDonnell Douglas F-15 Eagle;McDonnell Douglas;//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/F-15%2C_71st_Fighter_Squadron%2C_in_flight.JPG/300px-F-15%2C_71st_Fighter_Squadron%2C_in_flight.JPG
F-15 Strike Eagle;United States;multirole;F-15E;218;;Combat Aircraft;https://en.wikipedia.org/wiki/McDonnell_Douglas_F-15E_Strike_Eagle;McDonnell Douglas F-15E Strike Eagle;McDonnell Douglas;//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/F-15E_Strike_Eagle.jpg/300px-F-15E_Strike_Eagle.jpg
F-16 Fighting Falcon;United States;multirole;F-16C;791;150 D variants are used for training;Combat Aircraft;https://en.wikipedia.org/wiki/General_Dynamics_F-16_Fighting_Falcon;General Dynamics F-16 Fighting Falcon;General Dynamics;//upload.wikimedia.org/wikipedia/commons/thumb/c/c9/F-16_June_2008.jpg/300px-F-16_June_2008.jpg
A-10 Thunderbolt II;United States;attack;A-10C;287;;Combat Aircraft;https://en.wikipedia.org/wiki/Fairchild_Republic_A-10_Thunderbolt_II;Fairchild Republic A-10 Thunderbolt II;Fairchild Aircraft;//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/A-10_-_32156159151.jpg/300px-A-10_-_32156159151.jpg
Lockheed AC-130;United States;ground attack;AC-130U/W;35;of which seven are the J variant;Combat Aircraft;https://en.wikipedia.org/wiki/Lockheed_AC-130;Lockheed AC-130;Lockheed Corporation;//upload.wikimedia.org/wikipedia/commons/thumb/3/3e/AC-130_Spectre_Spooky_%282152191923%29.jpg/300px-AC-130_Spectre_Spooky_%282152191923%29.jpg
